,sentence,consistent,kind,fact
0,people feed cats with meat.,consistent,common,
1,people feed cats with chicken.,consistent,common,
2,people feed cats with beef.,consistent,common,
3,people feed cats with fish.,consistent,common,
4,people feed cats with burgers.,consistent,common,
5,people feed dogs with meat.,consistent,common,
6,people feed dogs with chicken.,consistent,common,
7,people feed dogs with beef.,consistent,common,
8,people feed dogs with fish.,consistent,common,
9,people feed dogs with burgers.,consistent,common,
10,people feed penguins with meat.,consistent,common,
11,people feed penguins with chicken.,consistent,common,
12,people feed penguins with beef.,consistent,common,
13,people feed penguins with fish.,consistent,common,
14,people feed penguins with burgers.,consistent,common,
15,people feed tigers with meat.,consistent,common,
16,people feed tigers with chicken.,consistent,common,
17,people feed tigers with beef.,consistent,common,
18,people feed tigers with fish.,consistent,common,
19,people feed tigers with burgers.,consistent,common,
20,people feed lions with meat.,consistent,common,
21,people feed lions with chicken.,consistent,common,
22,people feed lions with beef.,consistent,common,
23,people feed lions with fish.,consistent,common,
24,people feed lions with burgers.,consistent,common,
25,zoo keepers feed cats with meat.,consistent,common,
26,zoo keepers feed cats with chicken.,consistent,common,
27,zoo keepers feed cats with beef.,consistent,common,
28,zoo keepers feed cats with fish.,consistent,common,
29,zoo keepers feed cats with burgers.,consistent,common,
30,zoo keepers feed dogs with meat.,consistent,common,
31,zoo keepers feed dogs with chicken.,consistent,common,
32,zoo keepers feed dogs with beef.,consistent,common,
33,zoo keepers feed dogs with fish.,consistent,common,
34,zoo keepers feed dogs with burgers.,consistent,common,
35,zoo keepers feed penguins with meat.,consistent,common,
36,zoo keepers feed penguins with chicken.,consistent,common,
37,zoo keepers feed penguins with beef.,consistent,common,
38,zoo keepers feed penguins with fish.,consistent,common,
39,zoo keepers feed penguins with burgers.,consistent,common,
40,zoo keepers feed tigers with meat.,consistent,common,
41,zoo keepers feed tigers with chicken.,consistent,common,
42,zoo keepers feed tigers with beef.,consistent,common,
43,zoo keepers feed tigers with fish.,consistent,common,
44,zoo keepers feed tigers with burgers.,consistent,common,
45,zoo keepers feed lions with meat.,consistent,common,
46,zoo keepers feed lions with chicken.,consistent,common,
47,zoo keepers feed lions with beef.,consistent,common,
48,zoo keepers feed lions with fish.,consistent,common,
49,zoo keepers feed lions with burgers.,consistent,common,
50,families feed cats with meat.,consistent,common,
51,families feed cats with chicken.,consistent,common,
52,families feed cats with beef.,consistent,common,
53,families feed cats with fish.,consistent,common,
54,families feed cats with burgers.,consistent,common,
55,families feed dogs with meat.,consistent,common,
56,families feed dogs with chicken.,consistent,common,
57,families feed dogs with beef.,consistent,common,
58,families feed dogs with fish.,consistent,common,
59,families feed dogs with burgers.,consistent,common,
60,families feed penguins with meat.,consistent,common,
61,families feed penguins with chicken.,consistent,common,
62,families feed penguins with beef.,consistent,common,
63,families feed penguins with fish.,consistent,common,
64,families feed penguins with burgers.,consistent,common,
65,families feed tigers with meat.,consistent,common,
66,families feed tigers with chicken.,consistent,common,
67,families feed tigers with beef.,consistent,common,
68,families feed tigers with fish.,consistent,common,
69,families feed tigers with burgers.,consistent,common,
70,families feed lions with meat.,consistent,common,
71,families feed lions with chicken.,consistent,common,
72,families feed lions with beef.,consistent,common,
73,families feed lions with fish.,consistent,common,
74,families feed lions with burgers.,consistent,common,
75,their mothers feed cats with meat.,consistent,common,
76,their mothers feed cats with chicken.,consistent,common,
77,their mothers feed cats with beef.,consistent,common,
78,their mothers feed cats with fish.,consistent,common,
79,their mothers feed cats with burgers.,consistent,common,
80,their mothers feed dogs with meat.,consistent,common,
81,their mothers feed dogs with chicken.,consistent,common,
82,their mothers feed dogs with beef.,consistent,common,
83,their mothers feed dogs with fish.,consistent,common,
84,their mothers feed dogs with burgers.,consistent,common,
85,their mothers feed penguins with meat.,consistent,common,
86,their mothers feed penguins with chicken.,consistent,common,
87,their mothers feed penguins with beef.,consistent,common,
88,their mothers feed penguins with fish.,consistent,common,
89,their mothers feed penguins with burgers.,consistent,common,
90,their mothers feed tigers with meat.,consistent,common,
91,their mothers feed tigers with chicken.,consistent,common,
92,their mothers feed tigers with beef.,consistent,common,
93,their mothers feed tigers with fish.,consistent,common,
94,their mothers feed tigers with burgers.,consistent,common,
95,their mothers feed lions with meat.,consistent,common,
96,their mothers feed lions with chicken.,consistent,common,
97,their mothers feed lions with beef.,consistent,common,
98,their mothers feed lions with fish.,consistent,common,
99,their mothers feed lions with burgers.,consistent,common,
100,breeders feed cats with meat.,consistent,common,
101,breeders feed cats with chicken.,consistent,common,
102,breeders feed cats with beef.,consistent,common,
103,breeders feed cats with fish.,consistent,common,
104,breeders feed cats with burgers.,consistent,common,
105,breeders feed dogs with meat.,consistent,common,
106,breeders feed dogs with chicken.,consistent,common,
107,breeders feed dogs with beef.,consistent,common,
108,breeders feed dogs with fish.,consistent,common,
109,breeders feed dogs with burgers.,consistent,common,
110,breeders feed penguins with meat.,consistent,common,
111,breeders feed penguins with chicken.,consistent,common,
112,breeders feed penguins with beef.,consistent,common,
113,breeders feed penguins with fish.,consistent,common,
114,breeders feed penguins with burgers.,consistent,common,
115,breeders feed tigers with meat.,consistent,common,
116,breeders feed tigers with chicken.,consistent,common,
117,breeders feed tigers with beef.,consistent,common,
118,breeders feed tigers with fish.,consistent,common,
119,breeders feed tigers with burgers.,consistent,common,
120,breeders feed lions with meat.,consistent,common,
121,breeders feed lions with chicken.,consistent,common,
