condition,sentence_original,context_original,target,context_baseline1,context_baseline2,context_baseline3,context_baseline4
rw_con,If someone was interested in learning a foreign language there is a selection of courses available. A student would take a foreign language course to improve his French and make his parents proud.,If someone was interested in learning a foreign language there is a selection of courses available. A student would take a foreign language course to improve his French,French, A student would take a foreign language course to improve his French,If someone was interested in learning a foreign language there is a selection of courses available. A student takes a foreign language course to improve his French,someone was interested in learning a foreign language there is a selection of courses available. A student would take a foreign language course to improve his French,someone is interested in learning a foreign language. there is a selection of courses available. A student would take a foreign language course to improve his French
rw_con,"If a couple fancied some Indian cuisine, there are lots of meal choices on offer. Lovers would go to an Indian restaurant to eat some curry and feel very full all night.","If a couple fancied some Indian cuisine, there are lots of meal choices on offer. Lovers would go to an Indian restaurant to eat some curry",curry, Lovers would go to an Indian restaurant to eat some curry,"If a couple fancied some Indian cuisine, there are lots of meal choices on offer. Lovers go to an Indian restaurant to eat some curry","a couple fancied some Indian cuisine, there are lots of meal choices on offer. Lovers would go to an Indian restaurant to eat some curry","a couple fancy some Indian cuisine, there are lots of meal choices on offer. Lovers would go to an Indian restaurant to eat some curry"
rw_con,If the children were getting rowdy at weekends there is a lot that parents can do to keep them occupied in Glasgow. Mary would take her children to the Asda superstore to shop and battle the crowds.,If the children were getting rowdy at weekends there is a lot that parents can do to keep them occupied in Glasgow. Mary would take her children to the Asda superstore to shop,shop, Mary would take her children to the Asda superstore to shop,If the children were getting rowdy at weekends there is a lot that parents can do to keep them occupied in Glasgow. Mary takes her children to the Asda superstore to shop,the children were getting rowdy at weekends there is a lot that parents can do to keep them occupied in Glasgow. Mary would take her children to the Asda superstore to shop,the children are getting rowdy at weekends. there is a lot that parents can do to keep them occupied in Glasgow. Mary would take her children to the Asda superstore to shop
rw_con,If husbands wanted to surprise their wives with a gift there are lots of ideas available on the internet. Husbands would go to a shoe shop to buy some trainers and their wives would be happy.,If husbands wanted to surprise their wives with a gift there are lots of ideas available on the internet. Husbands would go to a shoe shop to buy some trainers,trainers, Husbands would go to a shoe shop to buy some trainers,If husbands wanted to surprise their wives with a gift there are lots of ideas available on the internet. Husbands go to a shoe shop to buy some trainers,husbands wanted to surprise their wives with a gift there are lots of ideas available on the internet. Husbands would go to a shoe shop to buy some trainers,husbands want to surprise their wives with a gift there are lots of ideas available on the internet. Husbands would go to a shoe shop to buy some trainers
rw_con,If a plumber had the appropriate tools he would do his job a lot faster. Sarah would call a plumber to fix her broken toilet and she would be out of her misery.,If a plumber had the appropriate tools he would do his job a lot faster. Sarah would call a plumber to fix her broken toilet,toilet, Sarah would call a plumber to fix her broken toilet,If a plumber had the appropriate tools he would do his job a lot faster. Sarah called a plumber to fix her broken toilet,a plumber had the appropriate tools he would do his job a lot faster. Sarah would call a plumber to fix her broken toilet,a plumber has the appropriate tools. he will do his job a lot faster. Sarah would call a plumber to fix her broken toilet
rw_con,If you wanted to change your appearance completely your friends would be very impressed. You would have your hair cut by a hairdresser and show it off at a party.,If you wanted to change your appearance completely your friends would be very impressed. You would have your hair cut by a hairdresser,hairdresser, You would have your hair cut by a hairdresser,If you wanted to change your appearance completely your friends would be very impressed. You have your hair cut by a hairdresser,you wanted to change your appearance completely your friends would be very impressed. You would have your hair cut by a hairdresser,you want to change your appearance completely. your friends is very impressed. You would have your hair cut by a hairdresser
rw_con,If birds were a rare species they would attract a lot of attention from wildlife lovers. School pupils would go to the countryside to study birds flying and enjoy the fresh air.,If birds were a rare species they would attract a lot of attention from wildlife lovers. School pupils would go to the countryside to study birds flying,flying, School pupils would go to the countryside to study birds flying,If birds were a rare species they would attract a lot of attention from wildlife lovers. School pupils go to the countryside to study birds flying,birds were a rare species they would attract a lot of attention from wildlife lovers. School pupils would go to the countryside to study birds flying,birds are a rare species. they  attract a lot of attention from wildlife lovers. School pupils would go to the countryside to study birds flying
rw_con,"If a golfer were keen to win the tournament, he would need to sharpen up his technique. A golfer would hurt his shoulder from swinging his club and visit a physio for treatment.","If a golfer were keen to win the tournament, he would need to sharpen up his technique. A golfer would hurt his shoulder from swinging his club",club, A golfer would hurt his shoulder from swinging his club,"If a golfer were keen to win the tournament, he would need to sharpen up his technique. A golfer hurt his shoulder from swinging his club","a golfer were keen to win the tournament, he would need to sharpen up his technique. A golfer would hurt his shoulder from swinging his club","a golfer is keen to win the tournament, he need to sharpen up his technique. A golfer would hurt his shoulder from swinging his club"
rw_con,If someone were interested in the law they would be encouraged to study at one of the great universities. A student would become a solicitor by studying law and impress his family and friends.,If someone were interested in the law they would be encouraged to study at one of the great universities. A student would become a solicitor by studying law,law, A student would become a solicitor by studying law,If someone were interested in the law they would be encouraged to study at one of the great universities. A student becomes a solicitor by studying law,someone were interested in the law they would be encouraged to study at one of the great universities. A student would become a solicitor by studying law,someone is interested in the law they are encouraged to study at one of the great universities. A student would become a solicitor by studying law
rw_con,If young couples want to enjoy a good night out there’s lots to choose from in a city like Glasgow. John would invite Mary to the cinema for a movie and they would have a great time.,If young couples want to enjoy a good night out there’s lots to choose from in a city like Glasgow. John would invite Mary to the cinema for a movie,movie, John would invite Mary to the cinema for a movie,If young couples want to enjoy a good night out there’s lots to choose from in a city like Glasgow. John invited Mary to the cinema for a movie,young couples want to enjoy a good night out there’s lots to choose from in a city like Glasgow. John would invite Mary to the cinema for a movie,young couples want to enjoy a good night out there’s lots to choose from in a city like Glasgow. John would invite Mary to the cinema for a movie
